Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR
191218,19:45,Brescia,Sassuolo,0,2,A,0,1,A,15,11,6,6,16,17,4,4,2,3,0
191220,19:45,Fiorentina,Roma,1,4,A,1,2,A,7,8,4,6,20,16,5,4,4,3,0
191221,14:00,Udinese,Cagliari,2,1,H,1,0,H,9,13,2,2,13,14,2,1,3,4,0
191221,17:00,Inter,Genoa,4,0,H,2,0,H,12,7,9,4,11,12,6,3,1,4,0
191221,19:45,Torino,Spal,1,2,A,1,1,D,7,7,6,4,24,16,10,3,5,5,1
191222,11:30,Atalanta,Milan,5,0,H,1,0,H,14,4,12,1,7,12,5,2,2,4,0
191222,14:00,Lecce,Bologna,2,3,A,0,1,A,7,19,3,16,17,18,6,2,3,3,0
191222,14:00,Parma,Brescia,1,1,D,0,0,D,13,11,6,4,16,10,9,5,3,2,0
191222,19:45,Sassuolo,Napoli,1,2,A,1,0,H,12,14,5,11,16,13,7,11,2,2,0
200105,11:30,Brescia,Lazio,1,2,A,1,1,D,4,15,3,7,12,24,2,5,5,4,1
200105,14:00,Spal,Verona,0,2,A,0,1,A,12,14,2,9,8,15,3,4,1,1,1
200105,17:00,Genoa,Sassuolo,2,1,H,1,1,D,10,6,7,3,23,14,1,6,4,6,0
200105,19:45,Roma,Torino,0,2,A,0,1,A,25,9,11,6,10,21,14,3,5,2,0
200106,11:30,Bologna,Fiorentina,1,1,D,0,1,A,12,7,7,4,14,23,14,2,2,4,0
200106,14:00,Atalanta,Parma,5,0,H,3,0,H,18,3,11,1,12,13,2,2,2,4,0
200106,14:00,Juventus,Cagliari,4,0,H,0,0,D,15,5,11,3,9,15,3,2,1,1,0
200106,14:00,Milan,Sampdoria,0,0,D,0,0,D,14,6,12,4,12,20,7,5,1,5,0
200106,17:00,Lecce,Udinese,0,1,A,0,0,D,10,7,6,4,17,11,7,8,1,1,0
200106,19:45,Napoli,Inter,1,3,A,1,2,A,18,9,8,8,10,22,3,4,0,6,0
200111,14:00,Cagliari,Milan,0,2,A,0,0,D,6,8,2,4,14,13,3,6,3,1,0
200111,17:00,Lazio,Napoli,1,0,H,0,0,D,7,11,6,7,9,7,6,6,2,2,0
200111,19:45,Inter,Atalanta,1,1,D,1,0,H,8,12,5,7,21,13,0,4,3,4,0
200112,11:30,Udinese,Sassuolo,3,0,H,1,0,H,13,10,9,5,13,13,6,11,0,0,0
200112,14:00,Fiorentina,Spal,1,0,H,0,0,D,11,9,5,3,18,10,3,4,1,1,0
200112,14:00,Sampdoria,Brescia,5,1,H,2,1,H,22,9,11,5,14,7,4,2,2,3,0
200112,14:00,Torino,Bologna,1,0,H,1,0,H,4,10,3,7,16,14,3,9,6,3,0
200112,17:00,Verona,Genoa,2,1,H,0,1,A,11,3,9,3,14,22,4,2,3,6,0
200112,19:45,Roma,Juventus,1,2,A,0,2,A,16,5,9,4,12,13,13,2,6,3,0
200113,19:45,Parma,Lecce,2,0,H,0,0,D,9,11,5,6,19,10,6,5,4,2,0
200118,14:00,Lazio,Sampdoria,5,1,H,3,0,H,16,6,12,4,12,13,6,4,1,2,0
200118,17:00,Sassuolo,Torino,2,1,H,0,1,A,7,7,6,3,13,15,13,6,2,4,0
200118,19:45,Napoli,Fiorentina,0,2,A,0,1,A,10,9,5,5,7,10,4,5,2,2,0
200119,11:30,Milan,Udinese,3,2,H,0,1,A,19,10,10,7,17,8,9,3,5,1,0
200119,14:00,Bologna,Verona,1,1,D,1,0,H,5,11,3,8,20,16,3,8,6,2,1
200119,14:00,Brescia,Cagliari,2,2,D,1,1,D,9,18,6,10,10,18,2,7,4,4,1
200119,14:00,Lecce,Inter,1,1,D,0,0,D,8,16,3,10,11,9,3,14,2,2,0
200119,17:00,Genoa,Roma,1,3,A,1,2,A,9,14,8,7,12,13,7,3,2,3,0
200119,19:45,Juventus,Parma,2,1,H,1,0,H,14,8,6,7,12,10,10,6,0,1,0
200120,19:45,Atalanta,Spal,1,2,A,1,0,H,14,13,8,7,15,17,8,4,2,3,0
